title,description
Comprar pão,Ir à padaria e comprar pão fresco para o café da manhã
Lavar roupa,Separar roupas brancas e coloridas e rodar a máquina
Limpar a casa,"Varrer, passar pano e organizar os cômodos"
Regar plantas,Regar todas as plantas da sala e da varanda
Fazer supermercado,"Comprar itens básicos: leite, ovos, frutas e legumes"
Pagar contas,Pagar conta de luz e de internet antes do vencimento
Ler um capítulo de livro,Dedicar 30 minutos à leitura do seu livro favorito
Responder e-mails,Organizar e responder e-mails pendentes do trabalho
Preparar almoço,Cozinhar uma refeição simples para o dia
Exercício rápido,Fazer 20 minutos de caminhada ou alongamento